Date Index,Absolute Model Code,Relative model Code,Absolute Value,Relative Value,Observation
23-09-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M09/SETTLE/ALL,5.0,-14.35,False
24-09-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M09/SETTLE/ALL,5.0,-13.85,False
27-09-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M09/SETTLE/ALL,5.0,-13.85,False
28-09-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M09/SETTLE/ALL,5.0,-13.85,False
29-09-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M09/SETTLE/ALL,5.0,-14.35,False
30-09-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M09/SETTLE/ALL,5.0,-14.35,False
01-10-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M08/SETTLE/ALL,5.0,-14.25,False
04-10-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M08/SETTLE/ALL,5.0,-14.1,False
05-10-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M08/SETTLE/ALL,5.0,-14.1,False
06-10-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M08/SETTLE/ALL,5.0,-14.1,False
07-10-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M08/SETTLE/ALL,5.0,-14.1,False
08-10-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M08/SETTLE/ALL,5.0,-14.1,False
11-10-2010,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2011M06/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M08/SETTLE/ALL,5.0,-14.1,False
16-12-2011,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2012M09/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M09/SETTLE/ALL,16.6,-17.0,False
25-08-2011,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2012M11/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M15/SETTLE/ALL,21.5,-23.0,False
18-10-2011,model://CME_NYMEX_WCC/US.NYMEX.CME.REGULAR.FUT.WCC.2013M09/SETTLE/ALL,model://CMENYMWCC_REL/US.NYMEX.CME.REGULAR.FUT.WCC.M11/SETTLE/ALL,17.75,-18.5,False
